iter	Passed	Remaining
0	0	37
1	0	37
2	1	35
3	1	32
4	1	32
5	2	32
6	2	31
7	2	30
8	3	30
9	3	30
10	3	30
11	4	30
12	4	29
13	4	29
14	5	29
15	5	28
16	5	28
17	6	27
18	6	27
19	6	27
20	7	26
21	7	26
22	7	26
23	8	25
24	8	24
25	8	24
26	8	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	10	22
33	11	21
34	11	21
35	11	21
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	16
54	18	15
55	19	15
56	19	14
57	20	14
58	20	14
59	21	14
60	21	13
61	22	13
62	22	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	30	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	37	1
95	37	1
96	38	1
97	38	0
98	38	0
99	39	0
