iter	Passed	Remaining
0	62	62185
1	62	31389
2	63	21183
3	64	16022
4	65	12935
5	65	10857
6	66	9368
7	67	8339
8	67	7477
9	68	6778
10	68	6196
11	69	5723
12	70	5324
13	70	4972
14	71	4673
15	71	4420
16	72	4187
17	72	3979
18	73	3794
19	73	3623
20	74	3474
21	74	3333
22	75	3216
23	76	3098
24	76	2994
25	77	2897
26	77	2810
27	78	2724
28	78	2643
29	79	2568
30	80	2505
31	80	2441
32	81	2380
33	81	2324
34	82	2272
35	83	2229
36	83	2186
37	84	2147
38	85	2102
39	86	2066
40	86	2028
41	87	1994
42	88	1961
43	88	1926
44	89	1894
45	89	1864
46	90	1835
47	91	1809
48	91	1781
49	92	1755
50	92	1728
51	93	1703
52	94	1680
53	94	1656
54	95	1633
55	95	1614
56	96	1592
57	96	1572
58	97	1553
59	97	1534
60	98	1520
61	99	1504
62	100	1489
63	100	1473
64	101	1456
65	101	1440
66	102	1423
67	102	1408
68	103	1392
69	103	1378
70	104	1365
71	104	1350
72	105	1337
73	105	1324
74	106	1312
75	107	1301
76	107	1289
77	108	1276
78	108	1265
79	109	1255
80	109	1244
81	110	1234
82	110	1221
83	111	1212
84	111	1202
85	112	1193
86	112	1184
87	113	1175
88	114	1167
89	114	1159
90	115	1151
91	115	1142
92	116	1135
93	117	1127
94	117	1119
95	118	1112
96	118	1106
97	119	1098
98	120	1092
99	120	1086
100	121	1079
101	122	1074
102	122	1069
103	123	1063
104	124	1057
105	124	1051
106	125	1044
107	125	1039
108	126	1036
109	127	1032
110	129	1037
111	130	1031
112	130	1025
113	131	1019
114	131	1013
115	132	1007
116	132	1000
117	133	994
118	133	989
119	134	985
120	135	981
121	137	987
122	137	982
123	138	978
124	139	973
125	139	968
126	140	962
127	140	957
128	141	952
129	141	947
130	142	942
131	142	937
132	143	934
133	144	930
134	144	928
135	145	924
136	146	920
137	146	916
138	147	911
139	147	907
140	148	903
141	148	898
142	149	894
143	149	890
144	150	886
145	150	882
146	151	877
147	151	873
148	152	870
149	152	866
150	153	862
